customer_id,company_name,contact_name,contact_title
LAMAI,"La maison d'Asie","Annette Roulet","Sales Manager"
PICCO,"Piccolo und mehr","Georg Pipps","Sales Manager"
AROUT,"Around the Horn","Thomas Hardy","Sales Representative"
SEVES,"Seven Seas Imports","Hari Kumar","Sales Manager"
DRACD,"Drachenblut Delikatessen","Sven Ottlieb","Order Administrator"
EASTC,"Eastern Connection","Ann Devon","Sales Agent"
ANTON,"Antonio Moreno Taquería","Antonio Moreno",Owner
GALED,"Galería del gastrónomo","Eduardo Saavedra","Marketing Manager"
VAFFE,Vaffeljernet,"Palle Ibsen","Sales Manager"
QUEEN,"Queen Cozinha","Lúcia Carvalho","Marketing Assistant"
WOLZA,"Wolski  Zajazd","Zbyszek Piestrzeniewicz",Owner
HUNGC,"Hungry Coyote Import Store","Yoshi Latimer","Sales Representative"
SANTG,"Santé Gourmet","Jonas Bergulfsen",Owner
BOTTM,"Bottom-Dollar Markets","Elizabeth Lincoln","Accounting Manager"
LINOD,LINO-Delicateses,"Felipe Izquierdo",Owner
FOLIG,"Folies gourmandes","Martine Rancé","Assistant Sales Agent"
OCEAN,"Océano Atlántico Ltda.","Yvonne Moncada","Sales Agent"
FRANS,"Franchi S.p.A.","Paolo Accorti","Sales Representative"
GOURL,"Gourmet Lanchonetes","André Fonseca","Sales Associate"
CONSH,"Consolidated Holdings","Elizabeth Brown","Sales Representative"
RANCH,"Rancho grande","Sergio Gutiérrez","Sales Representative"
LAZYK,"Lazy K Kountry Store","John Steel","Marketing Manager"
LAUGB,"Laughing Bacchus Wine Cellars","Yoshi Tannamuri","Marketing Assistant"
BLAUS,"Blauer See Delikatessen","Hanna Moos","Sales Representative"
NORTS,North/South,"Simon Crowther","Sales Associate"
CACTU,"Cactus Comidas para llevar","Patricio Simpson","Sales Agent"
GREAL,"Great Lakes Food Market","Howard Snyder","Marketing Manager"
MAISD,"Maison Dewey","Catherine Dewey","Sales Agent"
TRAIH,"Trail's Head Gourmet Provisioners","Helvetius Nagy","Sales Associate"
LETSS,"Let's Stop N Shop","Jaime Yorres",Owner
WILMK,"Wilman Kala","Matti Karttunen","Owner/Marketing Assistant"
THECR,"The Cracker Box","Liu Wong","Marketing Assistant"
